# OUT-OF-CORPUS QRELS for SQUAD evaluation set on FineWeb
# Generated: 2026-02-07T23:38:23.666152
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 10570
# Questions out-of-corpus: 3010
#
# Format: qid, question, official_answer
#====================================================================

4813, Who is credited with the modern name for this system , Davies is credited with coining the modern name packet switching and inspiring numerous packet switching networks in Europe
4815, What is circuit switching characterized by, circuit switching is characterized by a fee per unit of connection time
4816, How is packet switching charecterized, by a fee per unit of information transmitted
4819, How is circuit switching charecterized , by a fee per unit of connection time  even when no data is transferred
4822, How are packets normally forwarded, asynchronously using first-in  first-out buffering  but may be forwarded according to some scheduling discipline for fair queuing
4823, In cases of shared physical medium how are they delivered , the packets may be delivered according to a multiple access scheme
4825, How are packets normally forwarded, by intermediate network nodes asynchronously using first-in  first-out buffering  but may be forwarded according to some scheduling discipline for fair queuing
4826, In cases with shared medium how is it delivered , the packets may be delivered according to a multiple access scheme
4828, What was developed for the Air Force , survivable communications networks
4829, What 3 things does the Air Force work key on , use of a decentralized network with multiple paths between any two points  dividing user messages into message blocks
4830, How are Air force messages delivered , delivery of these messages by store and forward switching
4831, What was report P-2626, a general architecture for a large-scale  distributed  survivable communications network
4832, What delivery message was used , by store and forward switching
4834, What  things did the network concentrate on , use of a decentralized network with multiple paths between any two points  dividing user messages into message blocks  later called packets
4835, What did Donald Davies Develop, independently developed the same message routing methodology as developed by Baran
4836, What did Davies call his system , packet switching
4837, What did Davies want to build , proposed to build a nationwide network in the UK
4838, What use was suggested for the system , use in the ARPANET
4840, What did Davies call the System , packet switching
4841, What was suggested at the Symposium in 1967, suggested it for use in the ARPANET
4844, What is included with each packet label, Each packet is labeled with a destination address  source address  and port numbers. It may also be labeled with the sequence number of the packet
4847, Why is the node requiered to look up , Routing a packet requires the node to look up the connection id in a table
4848, What is a connection identifier , a connection identifier rather than address information and are negotiated between endpoints so that they are delivered in order and with error checking
4853, What is a typical configuration, A typical configuration is to run IP over ATM or a version of MPLS
4855, 2 differences betwen X.25 and ARPNET CITA technologies , Two fundamental differences involved the division of functions and tasks between the hosts at the edge of the network and the network core
4856, WHat does UserDatagram Protocol gaurentee, In the virtual call system  the network guarantees sequenced delivery of data to the host
4858, What was Apple Talk , a proprietary suite of networking protocols developed by Apple Inc. in 1985
4859, WHat were features of Apple Talk , that allowed local area networks to be established ad hoc without the requirement for a centralized router or server
4861, This type of system is known as , a plug-n-play system
4863, What was a first for this network , to make the hosts responsible for reliable delivery of data  rather than the network itself
4864, How was this possible , using unreliable datagrams and associated end-to-end protocol mechanisms
4865, This network influenced  later models of , later ARPANET architecture
4871, The 4 sales and service centers are viewed as , the world's first commercial online service
4872, Were the centers profitable, They lost money from the beginning  and Sinback  a high-level marketing manager  was given the job of turning the business around
4875, What completed the triad , an interactive host to host connection was made between the IBM mainframe computer systems at the University of Michigan in Ann Arbor and Wayne State
4877, What was telenet , the first FCC-licensed public data network in the United States
4878, Who founded Telnet , Larry Roberts
4879, Purpose of Telnet , making ARPANET technology public
4880, Telnet Used what  Interface technology, host interface to X.25 and the terminal interface to X.29
4881, Telnet was sold to , Telenet was incorporated in 1973 and started operations in 1975. It went public in 1979 and was then sold to GTE
4885, The business allowed for private companies to do what , government agencies and large companies (mostly banks and airlines) to build their own dedicated networks
4886, Gateways allowed private companies to do what , private networks were often connected via gateways to the public network to reach locations not on the private network
4893, What was DATANET 1 , was the public switched data network operated by the Dutch PTT Telecom
4895, Who else did DATNET 1 refer to , public PAD service Telepad (using the DNIC 2049
4896, Was the Use of the DATANET 1 name correct , use of the name was incorrect all these services were managed by the same people within one department of KPN contributed to the confusion
4900,  what is Internet2, a not-for-profit United States computer networking consortium led by members from the research and education communities  industry  and government
4904, ableine was retired and the new platform is called , Internet2 officially retired Abilene and now refers to its new  higher capacity network as the Internet2 Network
4911, By 199 how many universities were connected , By 1998  the vBNS had grown to connect more than 100 universities and research and engineering institutions via 12 national points of presence with DS-3
4912, What did the network install in 1999, vBNS installed one of the first ever production OC-48c (2.5 Gbit/s) IP links in February 1999 and went on to upgrade the entire backbone to OC-48c
4915, How much of the European population did the black death kill?, 30–60% of Europe's total population
4918, What does it mean for a disease to be enzootic?, commonly present
4919, How old are the gravestones that reference the plague?, dating to 1338–39
4921, When did the Chinese famine begin?, 1331
4924, Who did the army siege belong to?, Jani Beg
4928, Which direction did the disease first move in?, northwest across Europe
4929, Which country was the last to receive the disease?, northwestern Russia
4930, What types of European groups were able to avoid the plague?, parts of Europe that had smaller trade relations with their neighbours
4935, How did the plague infiltrate Alexandria?, y through the port's trade with Constantinople  and ports on the Black Sea
4938, What is the Latin name for Black Death?, atra mors
4939, Who allegedly coined the name Black Death?, J.I. Pontanus
4940, When did the name black death officially take root in England?, 1823
4943, Who was the medical report written for?, the king of France
4957, How high do plague fevers run?, 100–106 °F
4959, What is the mortality rate of pneumonic plague?, 90 to 95 percent
4960, What skin-related symptom appears from the pneumonic plague?, purple skin patches
4961, When did the Plos Pathogens paper come out?, In October 2010
4962, What was the Plos Pathogens paper about?, a new investigation into the role of Yersinia pestis in the Black Death
4963, How did scientists assess the DNA/RNA of yersinia pestis? , with Polymerase Chain Reaction (PCR)
4965, What does the plos pathogen paper claim?, unambiguously demonstrates that Y. pestis was the causative agent of the epidemic plague
4966, What are clades?, genetic branches
4968, What do the strains of y. pestis suggest abut the plague?, the plague may have entered Europe in two waves
4971, What is the current status of the Haensch study?, confirmed and amended
4977, What was Shrewsbury's conclusion?, contemporary accounts were exaggerations
4978, What did Graham Twigg publish in 1984?, the first major work to challenge the bubonic plague theory directly
4979, Who discussed Twigg's study in 2002?, Samuel K. Cohn  Jr.
4980, What is as important as identifying plague symptoms?, epidemiological account of the plague
4981, Why are researchers struggling to identify the history of the plague?, the lack of reliable statistics from this period
4983, Where can population estimates be extrapolated from?, the clergy
4984, During which years was no census taken?, between the time of publication of the Domesday Book and the year 1377
4985, Why might rats not be responsible for the plague?, the rat population was insufficient
4986, How significant was the transfer of disease through fleas?, of marginal significance
4987, Why  might the temperature affect the theory of plague spreading?, temperatures that are too cold in northern Europe for the survival of fleas
4991, What was Norman Cantor's theory about the plague?, a combination of anthrax and other pandemics
4993, What is septicemia? , (a type of "blood poisoning"
4999, Which areas were least vulnerable to disease?, most isolated areas
5003, What did historians do in the absence of census figures?, propose a range of preincident population figures from as high as 7 million to as low as 4 million
5015, Who fought in the great Northern war?, Sweden v. Russia and allies
5027, Which parts of the Earth are included in the lithosphere? , the crust and rigid uppermost portion of the upper mantle
5041, Why is the second timeline needed? , second scale shows the most recent eon with an expanded scale
5047, Finding what helps to determine if a fault is a normal fault or a thrust fault? , the key bed
5063, When dating rocks  what is the absolute isotopic date applied to?, fossil sequences
5067, How can you find the absolute age of sedimentary rock units which do not contain radioactive isotopes?, Dating of lava and volcanic ash layers found within a stratigraphic sequence
5079, Where do dikes form?, in areas that are being actively deformed
5081, What activity maintains topographic gradients?, Continual motion along the fault
5083, The Hawaiian Islands are made up almost entirely of what?, layered basaltic lava flows
5086, The rocks at the Grand Canyon have been in place since when?, Cambrian time
5094, Stable and radioactive isotope studies provide insight into what?, geochemical evolution of rock units
5098, How else can petrologists understand the temperature at which different mineral phases appear?, physical experiments
5099, Data from physical experiments can be extrapolated to the field to understand what processes? , metamorphic processes
5104, Zones in which mountains are built along convergent tectonic plate boundaries are called what?, orogenic wedges
5107, What does critically tapered mean? , all angles remain the same
5122, What prompted Shen Kuo to believe the land was formed by erosion of the mountains?, his observation of fossil animal shells
5126, What was the main idea of James Hutton's paper?, Earth must be much older than had previously been supposed
5146, What globally popular half marathon began in 1981?, the Great North Run
5178, What are chares?, Narrow alleys
5181, What is the House of Tides?, a restaurant
5182, What has recently undergone extensive restoration?, Tyneside Classical
5189, What is said to be the largest travelling funfair in Europe?, The Hoppings funfair
5191, What honorary title does Bob Geldof hold?, freemen
5192, What has replaced the former shipping premises?, Large-scale regeneration
5195, Why have Newcastle and Gateshead linked together under a common banner?, tourist promotion
5196, How many days did the River Tyne have the Bambuco Bridge?, ten
5199, How high are many of the buildings with turrets?, four stories
5211, What year was Newcastle ninth in retail expenditures?, 2010
5212, What is one of the largest city center shopping complexes in the UK?, Eldon Square Shopping Centre 
5213, What department store is thought to be the first in the world?, Bainbridge's
5214, How did Brainbridge's official ledgers report revenue?, by department
5221, What was the dominant housing template when industrial centres were growing the fastest?, The Tyneside flat
5223, Where is this housing style being developed recently?, the Ouseburn valley
5225, What can be achieved without building high or getting rid of common areas?, high density
5226, What proportion did detached homes rise in 2010?, 7.8%
5227, Where does the proportion of shared and converted houses in 2011 put this dwelling type in the color-coded brackets?, 5.9%
5228, What type of markets is the dwelling type below?, overinflated
5237, Scottish or Irish describe the type of what people in Newcastle have?, ancestors
5238, What type of surnames is their a strong presence of?, Border Reiver
5242, Who conquered much of England after the end of Roman imperial rule?, Anglo-Saxon populations
5247, Where are some words from the Geordia dialect used?, Northern United Kingdom
5253, What's the average decibel level of noise in Newcastle?, 80.4
5256, What is referred to as the Diamond Strip?, Collingwood Street
5257, What is "The Gate"?, indoor complex
5260, What does the Pink Triangle have a range of?, bars  cafés and clubs
5263, What did Stephen Kemble guide the Theatre Royal through?, many celebrated seasons
5267, What first opened in 1837?, the Theatre Royal
5272, How many CDs does Newcastle's library have?, 8000
5278, How often is the AV Festival held?, biennial
5279, What is the festival of food and drink known as?, EAT!
5282, When does the largest traveling fair in Europe take place?, every June
5284, What type of festival is The Northern Rock Cyclone?, a cycling festival
5287, Where will the 2009 International Arts Fair be held?, Sage Gateshead Music and Arts Centre
5289, What cultural festival is the SAMA festival?, East Asian
5291, What genre of music is Lindisfarne classified as?, folk-rock
5296, Between what dates was the building on Pilgrim Street refurbished? , November 2006 and May 2008
5297, Where was a cinema relocated while repairs were underway?, Old Town Hall
5298, How many cinemas are currently housed at one site?, three
5300, Where is the Tyneside Bar located?, roof
5301, Where is the Science Village located?, Centre for Life
5302, What does the Discovery Museum draw attention to?, life on Tyneside
5304, What year saw the merger of two museums in Newcastle?, 2009
5306, What is the earliest known movie featuring scenes filmed outdoors in Newcastle?, On the Night of the Fire
5308, What genre of film was the 1988 film Stormy Monday?, gangster
5309, Who directed Stormy Monday?, Mike Figgis
5317, How is Newport's airport connected to the city?, Metro Light Rail system
5318, How long does it take to get to the middle of Newcastle from its outskirts when riding the rails?, 20 minutes
5319, How many passengers per year does Newcastle's airport handle?, over five million
5320, How many destinations are available worldwide from Newcastle's airport?, over 90
5321, What was enhanced in 2014?, Victorian architecture
5325, What mainline station is to the east of the city center?, Manors
5328, Where do all trains going to Scotland stop at?, Edinburgh
5335, How many passengers a year does the rail network in Newcastle carry?, over 37 million
5336, What is the name of the current refurbishment the system is undergoing?, Metro: All Change.'
5338, What is being overhauled as part of the improvement works?, tracks  signalling and overhead wires
5345, What was increased in November 2011?, the capacity of the Tyne Tunnel
5346, How many bus companies provide service to the city of Newcastle?, 3
5349, What is Nexus?, the Tyne and Wear Passenger Transport Executive.
5354, What streets are contraflows to be implemented on in Newcastle?, one way
5358, What did DFDS cite as the reasons it terminated operations?, high fuel prices and new competition from low-cost air services
5359, When did DFDS terminate its services to Norway?, late 2008
5361, How many LEA-funded 11 to 18 schools are there in Newcastle?, eleven
5369, What happened in 1992 in a UK-wide process?, polytechnics became new universities
5370, What university won the award for Most IT enabled organisation?, Northumbria University
5372, What year was St. Nicholas' lantern tower made?, 1474
5378, What was added to the the church of St. Andrew in 1726?, the main porch
5379, What surrounds the church of St. Andrew?, ancient churchyards
5380, What received a battering during the Siege of Newcastle?, The church tower
5381, Where was ITV Tyne Tees based for over 40 years?, City Road
5382, Where did ITV Tyne Tees move in 2005?, a new facility
5383, What gave its name to the 1980s music television program "The Tube"?, The entrance to studio 5
5384, Why is the building on Spital Tongues known as the Pink Palace?, result of its colouring
5385, What local radio station is broadcast by the Corporation from the Pink Palace?, BBC Radio Newcastle
5390, Where does the Newcastle Student Radio station broadcast from during terms?, Newcastle University's student's union building
5396, What school did both Hank Marvin and Bruce Welch attend?, Rutherford Grammar School
5397, What is Michael Carrick and Alan Shearer's profession?, international footballers
5399, What did John Dunn invent?, keyed Northumbrian smallpipes
5402, how many permanent objects are located there?, a permanent collection of over 4.5 million objects.
5404, Who is the museum named for?, named after Queen Victoria and Prince Albert
5410, How many acres does the V&A cover?, 12.5
5411, How many galleries does the V&A have?, 145
5416, Who was the V&A's first director?, Henry Cole
5417, What was the museum originally called?, Museum of Manufactures
5421, What is the exact date of the V&A's official opening?, 22 June 1857
5423, The use of gas lighting made what possible the year after the museum officially opened?, late night openings
5424, In which year did the Royal College of Art gained full independence from the V&A?, 1949
5425, When was the Britain Can Make It exhibition held?, between September and November 1946
5426, How many visitors did the Britain Can Make It exhibition attract?, nearly a million and a half
5430, What did the V&A present in July 1973 as part of its youth outreach programme?, a rock concert
5431, Which musical group did the V&A present in July 1973 as part of its youth outreach programme?, Gryphon
5432, The V&A's youth outreach programme was a hallmark of whose directorship?, Roy Strong
5433, Which musical genre did the progressive folk-rock band Gryphon presented at a concert/lecture at the V&A? , mediaeval music
5435, What is the estimated cost of the V&A branded gallery?, £76 million
5436, Where in Dundee will the gallery be located?, on the city's waterfront
5437, What will V&A Dundee focus on?, fashion  architecture  product design  graphic arts and photography
5438, When could V&A Dundee?, within five years
5439, What was the building that formerly occupied the V&A's present site called?, Brompton Park House
5440, What was the first building erected that still forms part of the museum?, Sheepshanks Gallery
5441, Who designed the Turner and Vernon galleries that were built in 1858-9?, Captain Francis Fowke
5442, In which year were the North and South Courts opened?, Secretariat Wing
5443, What does the Secretariat Wing house?, offices and board room
5444, Who was the designer of the Oriental Courts?, Oriental Courts
5449, Who were responsible for the interior decorations of the Green Dining Room?, Philip Webb and William Morris
5453, Who was responsible for the decorations of the Grill Room?, Sir Edward Poynter
5455, What was the Henry Cole Wing previously called?, School for Naval Architects
5456, What stone was used for the staircase designed by J.W. Wild?, Cadeby stone
5460, Who designed the wrought iron gates that was used to embellish the east side of the building?, Starkie Gardner
5461, Where on the side are the two Cast Courts located?, southeast of the garden
5462, Where is the sculpture gallery now located?, Art Library
5463, Who designed the plaster work in the Art Library?, Reuben Townroe
5465, What building materials were used to build the main façade?, red brick and Portland stone
5466, How long does the main façade stretch along Cromwell Gardens?, 720 feet
5467, What late Gothic architectural sculptural feature is found on the tower above the main entrance?, a statue of fame
5468, Statues of British artists adorn which part of the tower above the main entrance?, top row of windows
5471, Who designed the Entrance Hall and Rotunda?, Alfred Drury
5474, Which part of the museum received the first major post-war work?, Art Library
5477, Who designed the iron gates that decorate the new entrance building?, Christopher Hay and Douglas Coyne
5478, What was intended for the site of the former boiler house?, the Spiral
5484, Who redesigned the central garden?, Kim Wilkie
5485, The redesigned central garden opened in 2005 with what new moniker?, John Madejski Garden
5487, The steps around the water feature can be drained for what uses?, receptions  gatherings or exhibition purposes
5488, Which tree species is planted in the two corners by the north facade?, American Sweetgum
5501, When is Sir Pindar's house dated?, c1600
5512, In which year did the gallery of Indian art open?, 1991
5514, Approximately how many works of art are included in the Far Eastern collections?, more than 70 000
5515, Which countries are represented in the Far Eastern collections?, China  Japan and Korea
5516, What is the name of the gallery devoted to Chinese art?, The T. T. Tsui Gallery
5519, Which company is the gallery of Japanese art named after?, Toshiba
5522, Most of the objects in the Japanese art collection is dated to which time period?, from 1550 to 1900
5530, What are the three parchment-bound manuscripts of the Codex Forster called?, Forster I  Forster II  and Forster III
5536, The V&A library's collection of illuminated manuscripts are dated to which centuries?, from the 12th to 16th
5540, What cataloging system was used by the National Art Library from the 1980s to the 1990s?, MODES
5542, What type of item is the mostly likely to show in the V&A computer system?, newly accessioned into the collection
5543, What is the search feature on the V&A website called?, Search the Collections
5545, What was the digitization project called?, Factory Project
5547, Approximately how many images were digitized during the first year of the digitization project?, 15 000
5548, What is the second phase of the digitization project?, to catalog everything
5555, What British cultural trend during the Georgian is linked to design during the same period?, increasing emphasis on entertainment and leisure
5562, The Cast Courts display plaster casts of what objects?, sculptures  friezes and tombs
5565, Who designed the  Möllendorff Dinner Service?, Frederick II the Great
5566, In which year was Möllendorff Dinner Service designed?, 1762
5570, From which countries were the V&A's collection of Delftware produced?, Britain and Holland
5578, The Art Noveau style of glassware is represented by which two artists?, Louis Comfort Tiffany and Émile Gallé
5589, Approximately how many items are in the costume collection of the V&A?, over 14 000
5591, Why is the collection dominated by fashionable clothes made for special occasions?, Because everyday clothing from previous eras has not generally survived
5592, In which year did the V&A received the Talbot Hughes collection?, 1913
5593, The Talbot Hughes collection was a gift from which company?, Harrods
5594, When did the V&A acquired the Costiff collection?, 2002
5600, When was the Soulages collection acquired?, between 1859 and 1865
5605, To whom has the Antwerp City Hall doors in the V&A collection been attributed?, Hans Vredeman de Vries
5606, To which year has the Rococo Augustus Rex Bureau Cabinet been dated?, c1750
5609, Approximately how many items comprise the jewelry collection of the V&A?, over 6000
5613, Who funded the new jewelry gallery that opened in 2008?, William and Judith Bollinger
5614, The silver and gold collection of the V&A is divided into which categories?, secular and sacred
5615, To which year is the earliest known piece of English silver with a dated hallmark is dated?, 1496–97
5618, Approximately how many silver and gold objects does the V&A have it its collection?, over 10 000
5619, To which year is the Gloucester Candlestick dated?, c1110
5622, To which year is the Becket Casket dated?, c1180
5625, Which Member of Parliament explained how the museum would preserve the collection and keep it available to the public?, Bryan Davies
5629, Approximately how many British oil paintings does the museum have?, 1130
5633, Who painted the retable of St. George that is in the V&A collection?, Andrés Marzal De Sax
5635, How many paintings did John Sheeshanks give to the museum?, 233
5646, What do the Animal Locomotion photographs capture?, animals and humans performimg various actions
5668, How are the galleries overlooking the garden arranged?, by theme
5670, Which museum was among those that loaned more modern works for the new sculpture galleries?, Tate Britain
5673, What is the time period represented in the museum's textiles collection?, from the 1st century AD to the present
5674, Which region is represented the most in the textiles collection?, western Europe
5679, What do the Devonshire Hunting Tapestries depict?, hunting of various animals
5681, When is the Sicilian Tristan Quilt dated?, late 14th-century
5684, The Art Deco period of textiles works is represented by which American artist?, Marion Dorn
5692, What two environmental conditions are controlled in the museum?, temperature and light
5694, Besides the V&A's  whose collections are under the responsibility of conservators at the V&A?, V&A Museum of Childhood
5716, What company filed a complaint with the FCC in 1934 concerning problems establishing new stations?, Mutual
5736, How much did Disney sell it's stake in Eurosport for in 2000?, $155 million
5738, When was ABC1 discontinued because of low viewership?, September 8  2007
5739, What developmental network was discontinued after the shutdown of ABC1?, ABC International
5742, What ended the need for ABC to maintain interests in other countries?, satellite television
5743, Where were ABC's international networks mainly situated in the 1970s?, Japan and Latin America
5744, Why was ABC forced to sell its interests in international networks in the 70s?, legislation to limit foreign ownership of broadcasting properties
5746, What country did ABC expand in to in the mid-1960s?, Beirut
5747, What Japanese network did ABC purchase a stake in in 1951?, Mainichi Broadcasting System
5748, Why was NBC unable to broadcast the coronation of Queen Elizabeth II?, flight delays
5749, Why was CBS unable to broadcast the coronation of Queen Elizabeth II?, technical problems
5751, Which awards show has its rights rotated among the four major networks on a yearly basis?, Emmy Awards
5763, What are ABC's current daytime talk shows?, The View and The Chew
5764, When did General Hospital begin airing?, 1963
5765, ABC carries weekend events for what extreme sports competition?, X Games
5802, In 2000  ABC started an internet based campaign focused on what?, circle logo
5803, Who was hired to produce ABC's 2001-02 identity?, Troika Design Group
5804, What colors was the 2001 ABC logo?, black-and-yellow
5805, What is the nickname for ABC's logo from the 2000 campaign?, the dot
5806, Who designed ABC's 1998 new graphic design?, Pittard Sullivan
5807, In what year did ABC stop using it's four-note jingle for promotion?, 2015
5808, What image campaign was the new four-note jingle for ABC based around?, "We Love TV" image campaign
5809, Where is the ABC four-note jingle still in use?, ABC on Demand to the beginning of the ABC show
5812, In what year was the 40th anniversary of ABC's founding?, 1983
5813, What slogan accompanied the 40th anniversary logo for ABC?, That Special Feeling
5814, In what year did the first ABC identification card have a 3D appearance?, 1977
5815, What color was the background for ABC's 1977 ID sequence?, black background
5816, In what color was the dot represented in ABC's 1977 ID sequence?, glossy gold
5818, What typeface are the letters in the iconic ABC logo reminiscent of?, Bauhaus typeface
5833, Who did the FCC rule in favor of in the April 2000 dispute between Time Warner Cable and ABC?, ABC
5834, Which major network was the most watched for the 2000-01 season?, ABC
5862, What program for ABC was a remake of the film The Boy from Oklahoma?, Sugarfoot
5871, What was the name for the new radio concept designed by Allen Shaw?, LOVE Radio
5903, Who produced the comedy-drama The Love Boat?, Aaron Spelling
5904, How many seasons did The Love Boat run for?, nine seasons
5910, When was 7 Lincoln Square completed?, June 1979
5911, When was the newsmagazine 20/20 first created?, June 1978
5912, Who was first appointed at the anchor of 20/20?, Hugh Downs
5920, What game show debuted on ABC in 2007 as a replacement for striking programs?, Duel
5926, What year marked the lowest ratings for the drama Lost?, 2010
5927, In what year did Lost first debut?, 2004
5928, Ugly Betty's ratings fell dramatically after the series movie to what night?, Fridays
5932, ABC created what company as a production company in response to fin-syn rules?, ABC Circle Films
5933, What company did Worldvision sell a portion of it's catalogue to in 1990?, Turner Broadcasting System
5934, What ABC division handles domestic television distribution?, Disney–ABC Domestic Television
5937, What library contains the Selmur Productions catalogue?, Selznick library
5938, What were the first two stations to carry ABC's programming?, WABC-TV and WPVI-TV
5940, How many stations did ABC have affiliation agreements with in 2015?, 235 additional television stations
5941, What percentage of American households did ABC reach in March 2015?, 96.26%
5944, When did ABC adopt it's iconic circle logo?, 1957
5945, In what year was Supernanny canceled?, 2011
5946, In 2011  which program became the only ABC broadcast in 4:3 standard definition?, Extreme Makeover: Home Edition
5948, What was the program in the first Children's program block to be broadcast in HD?, Litton's Weekend Aventure
5952, What is the native format for the Walt Disney Company's US TV properties?, 720p high definition
5955, What network did ABC beat out for third place in television ratings in 2010-11?, NBC
5956, What drama program was canceled by ABC after a bad midseason run in 2010-11?, V
5959, On what service were All My Children and One Life to Live revived on for one season?, Hulu
5960, What talk show replaced One Life to Live?, The Revolution
5966, What two comedies were featured on ABC's new Wednesday comedy lineup?, The Middle and Modern Family
5968, What day of the week did Shark Tank debut on?, Sundays
5974, How many seasons did NYPD Blue last?, ten seasons
5990, At what address did Goldenson secure a new headquarters for ABC?, 1330 Avenue of the Americas in Manhattan
5998, What was the resulting channel of the ARTS merger called?, Arts & Entertainment Television (A&E)
5999, Who succeeded Thomas Murphy as president in 1990?, Daniel B. Burke
6005, What two talk shows are currently featured during daytime programming on ABC?, The View and The Chew
6008, What are the only states where ABC doesn't have a licensed affiliate?, New Jersey  Rhode Island and Delaware
6017, What programs are broadcast from the Times Square Studios for ABC?, Good Morning America and Nightline
6020, What is ABC's traditional VOD service currently named?, ABC on Demand
6022, When did Hulu begin offering ABC's programs for streaming?, July 6  2009
6025, Disney-ABC Television group implemented restrictions for Hulu and WATCH ABC that made episodes available only after how many days after initial broadcast?, eight
6027, When did Disney-ABC Television group implement restrictions on Hulu and WATCH ABC to encourage live viewing?, January 7  2014
6030, What new typeface was created for ABC for use in advertising?, ABC Modern
6031, What network uses a red version of the new ABC logo?, ESPN
6032, How many primary affiliates did ABC have in 1954?, 14
6065, Which network regained the ratings lead in America in 1984?, NBC
6069, What does "TGIF" stand for?, Thank Goodness It's Funny
6073, What was the first picture released by ABC Pictures?, Charly
6074, Who was the film Charly produced by?, Ralph Nelson
6075, When was the ABC Pictures division eventually dissolved?, 1985
6076, Where was ABC Marine World opened?, Redwood City  California
6084, What magazine criticized ABC's programming strategy in May 1961?, Life
6085, What kind of shows were used as counterprogramming by ABC in the Fall of 1959?, detective shows
6086, What service did ABC launch in May 2013?, WATCH ABC
6087, What were the first local stations to offer streams of their programming on WATCH ABC?, New York City O&O WABC-TV and Philadelphia O&O WPVI-TV
6091, What is the biggest ABC subchannel affiliate by the size of markets?, WABM-DT2/WDBB-DT2 in the Birmingham market
6093, How many affiliates does Sinclair Broadcast Group service or own?, 28 ABC affiliates and two additional subchannel-only affiliates
6094, How many ABC affiliates does the E. W. Scripps Company own?, 15
6096, Who developed the 2007 imaging campaign for ABC?, Troika
6098, Blue ribbons in the logo were used to represent which division of ABC?, ABC News
6099, What are the two ABC affiliates for Tampa  Florida?, WFTS-TV and WWSB
6100, What are the two ABC affiliates for Kansas City  Missouri?, KMBC-TV and KQTV
6101, What are the two ABC affiliates for Grand Rapids Michigan?, WZZM and WOTV
6102, What was Tampa's primary ABC affiliate prior to 1994?, WTSP
6105, In which regions in particular did Genghis Khan's armies massacre civilians?, Khwarezmian and Xia controlled lands
6107, Which other empires or dynasties did Genghis Khan conquer?, the Qara Khitai  Caucasus  Khwarezmid Empire  Western Xia and Jin dynasties
6133, Which foreign forces often meddled in the Mongolian political scene?, the Chinese dynasties to the south
6145, What is an anda?, sworn brother or blood brother
6249, Which's of Genghis Khan's successors could not be successor because of his age?, Tolui
6272, What two other rulers had their graves hidden under a river?, Sumerian King Gilgamesh of Uruk and Atilla the Hun
6278, Who is an example of the diversity of leadership in the Mongol Empire?, Muhammad Khan
6282, What are examples of the various religions of Mongol tribes?, Shamanist  Buddhist or Christian
6299, How were enemy prisoners used tactically by Mongol armies?, driving them in front of the army
6318, What is the Mongolian name of the first Mongolian laws codified in writing?, Ikh Zasag
6341, Jenggis is the adjectival form of what word?, Zhèng
6352, What else was used by pharmas?, many other herbs not listed
6355, What type of treatment are pharmacists important for?, optimisation of a drug treatment for an individual
6357, What types of preparation do pharmacists have?, specialised education and training
6360, What is a main duty of the GPhC?, regulates the practice of pharmacists and pharmacy technicians
6362, What types of responsibilities might a pharmacy technician have?, manage the pharmacy department and specialised areas in pharmacy practice
6363, What is Pedanius Dioscorides known for?, writing a five volume book in his native Greek
6368, How were the men who did tasks like those of today's pharmacists viewed in Japan in the Asuka and Nara periods?, highly respected
6370, What put a hierarchical structure in place?, the pre-Heian Imperial court
6374, Who was influential in promoting the use of chemical compounds as medicines?, Muhammad ibn Zakarīya Rāzi
6376, Who wrote about the distillation of drinking water from sea water?, Al-Muwaffaq
6383, What is the dispensary subject to in a majority of countries?, pharmacy legislation
6387, What does pharmacy legislation mandate?, storage conditions  compulsory texts  equipment  etc.
6388, Where do pharmacists acquire more preparation following pharmacy school?, a pharmacy practice residency
6390, What is one issue that adds to the complexity of a pharmacist's job?, effectiveness of treatment regimens
6393, In what form are most hospital medications?, unit-dose  or a single dose of medicine
6395, What is one factor that increases the importance of the pharmacy performing at a high level?, The high cost of medications and drug-related technology
6396, What are some advantages of hospital pharmacies?, Hospital pharmacies usually stock a larger range of medications  including more specialized medications
6397, What do the services given by pharmacists provide?, optimizes the use of medication and promotes health  wellness  and disease prevention
6403, What is involved in a review of prescribed medications?, an evaluation of the appropriateness of the drug therapy
6404, What are the components of drug therapy?, drug choice  dose  route  frequency  and duration of therapy
6410, What entities are included in the federal health care system?, the VA  the Indian Health Service  and NIH
6411, What is consultant pharmacy mainly concerned with?, medication regimen review
6415, What do some community pharmacies do?, employ consultant pharmacists and/or provide consulting services
6425, What do most online pharmacies do?, sell prescription drugs and require a valid prescription
6427, What conditions must be met for a prescription for a controlled substance to be valid?, it must be issued for a legitimate medical purpose by a licensed practitioner acting in the course of legitimate doctor-patient relationship
6429, What conditions must be met to prescribe a controlled substance?, it must be issued for a legitimate medical purpose by a licensed practitioner acting in the course of legitimate doctor-patient relationship
6430, What is the obligation of a pharmacy filling a prescription?, to ensure that the prescription is valid
6431, Who defines what constitutes a patient-doctor relationship?, individual state laws
6433, What is a reason for the movement to legalize importing medicines from other countries?, to reduce consumer costs
6435, Who are FDA laws against importing medications aimed at?, international drug suppliers  rather than consumers
6436, Has there ever been anyone charged with importing drugs from Canada for personal medicinal use?, There is no known case
6437, What is there a push for in the U.S. to reduce consumer drug costs?, to legalize importation of medications from Canada and other countries
6444, How many drugs approved by the FDA in 2013 were specialty drugs?, 19
