# UNSUPPORTED QRELS for NQ evaluation set on FineWeb
# Generated: 2026-02-07T04:19:25.773551
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 3610
# Questions out-of-corpus: 1219
#
# Format: qid, question, official_answer
#====================================================================

3232, who is the present president of assam sahitya sabha, Dhrubajyoti Bora
3239, when did the tradition of self government began in america, 1783
3245, who sings war don't let me down, American production duo The Chainsmokers
3247, where does the saying get out of dodge come from, the drama series Gunsmoke
3248, when will notre dame played michigan state again, 2026
3249, who sang first line of we are the world, Lionel Richie
3251, who wrote i'm in the mood for dancing, Ben Findon
3252, who plays the robot maid in richie rich, Brooke Wexler
3253, how many hospitals are there in the united states, 5 534 registered hospitals
3254, university of michigan school of public health ranking, #4
3258, who is the guy on keeping up with the kardashians, Jonathan Cheban
3260, who used the word physiology for the first time, Jean Fernel
3263, when was the taj mahal built and completed, 1632–53
3271, what awards did the curious case of benjamin button win, Best Makeup
3272, who had the longest tenure as moderator on meet the press, Tim Russert
3273, who sings it's my party and i cry if i want to, Lesley Gore
3279, most home runs by 2 teammates in a season, 115
3281, make it or break it who goes to the olympics, Payson
3285, where can tight junctions be found in the body, Internal epithelia
3286, who plays jimmy's mom in 8 mile, Kim Basinger
3287, who plays the dad in malcom in the middle, Bryan Cranston
3294, who sings song at the end of beauty and the beast, Josh Groban
3295, super robot monkey team hyperforce go fighting games, Galactic Smash
3296, where did they film the show the crossing, British Columbia  Canada
3297, who wrote lord have mercy on the working man, Kostas
3302, who won season 5 of hell's kitchen, Executive Chef Danny Veltri
3303, what episode of pll does jenna get her sight back, If These Dolls Could Talk
3304, when was the last time the crows were in the grand final, 2017
3313, when did they stop making jello pudding pops, the 90s
3318, when was the last episode of the flash aired, May 22  2018
3319, who sang last night on saturday night live, Childish Gambino
3321, who sings oh what a night late december back in 63, the Four Seasons
3322, puella magi madoka magica when does madoka become a magical girl, My Very Best Friend
3323, who wrote i want to dance with somebody by whitney houston, George Merrill
3325, ahana from dil sambhal ja zara real name, Smriti Kalra
3328, who kidnapped ben in the deep end of the ocean, celebrity alumna Cecil Lockhart
3330, who sings the theme song to all that, TLC
3331, the most recent technological change to the u.s. economy was, digitization of social systems
3340, when is season 7 race to the edge coming out, February 16  2018
3341, who is darrell brother in the walking dead, Merle Dixon
3346, where was the diary of a wimpy kid filmed, Vancouver
3360, when do mr schuester and emma get together, the fourth season
3364, where is final four being held this year, the Alamodome
3375, what time can you legally buy alcohol in michigan, 7 a.m.
3377, when does the 14th season of grey's anatomy come out, September 28  2017
3378, where does the great outdoors movie take place, in Pechoggin  Wisconsin
3384, where was thomas and the magic railroad filmed, the Isle of Man
3387, when are general elections held in the us, every two to six years
3392, who does the music for shimmer and shine, Bobby Tahouri
3396, who is the minister of youth in namibia, Erastus Utoni
3402, what level is a city and guilds qualification, entry level to level 7
3405, who is the ceo of crate and barrel, Neela Montgomery
3407, who is the head a in pretty little liars, CeCe Drake
3408, how many students does monarch high school have, 2 406
3414, where do characters live in this is us, New Jersey
3416, when will miraculous ladybug season 2 episode 12 come out, 30 March 2018
3417, who does betty end up with on riverdale, Archie Andrews
3419, what time do tam tams start in montreal, around 10:30am
3422, who wrote the song if i were a boy, BC Jean and Toby Gad
3427, when did the not in this lifetime tour start, April 1  2016
3434, who was the first black person to register to vote, Thomas Mundy Peterson
3435, who plays sheila carter on the bold and the beautiful, Kimberlin Brown
3436, where does sex and the city take place, New York City
3439, who sang it my party and i'll cry if i want to in the 80, Barbara Gaskin
3442, who played raquel in only fools and horses, Tessa Peake-Jones
3448, days of our lives cast doug and julie, Susan Seaforth Hayes
3449, who is known as the super fast boy in the series the icredible, Dashiell Robert Parr / Dash
3450, who is stephanie's mom on the bold and the beautiful, Ridge Forrester
3460, one piece english dubbed episode 564 release date, September 16  2012
3462, when does elijah first appear in vampire diaries, Rose
3467, when does the nba season end this year, April 11  2018
3468, malcom in the middle season 1 episode 3, Home Alone 4
3472, when was the time the eagles won the superbowl, 2017
3479, when do new episodes of ncis los angeles return, May 13  2018
3480, when does elena turn into a vampire in the tv series, season four
3481, who wrote the country song i can only imagine, Bart Millard
3483, when does season 2 of just add magic come out, October 14  2016
3486, who played the virgin in conan the destroyer, Olivia d'Abo
3488, paul walkers cars in fast and furious list, 1995 Toyota Supra
3493, who sings two pints of lager and a packet of crisps, Christian Henson
3496, who played susanna in legends of the fall, Julia Ormond
3497, where are they building the new raiders stadium, Paradise  Nevada
3498, who was the voice of templeton in charlotte's web, Paul Lynde
3500, the actual name of the confederate force at gettysburg was, Confederate States Army
3502, new anime from the creators of attack on titan, Vinland Saga
3505, where was gunsmoke to the last man filmed, Tucson  Arizona
3506, when was the defensive 3 second rule implemented, the 2001–2002 season
3514, where does aarp fall on the political spectrum, non-partisan
3519, how long did the democrats control the house and senate, 57 yrs
3521, when is beyblade burst super z coming out, April 2  2018
3523, who plays the bad guy in the good place, Ted Danson
3527, how many episodes in season 2 of fargo, 10
3532, who plays the coach in old spice commercial, Isaiah Amir Mustafa
3534, where did hope on bold and beautiful go, Milan  Italy
3537, where is thank you for your service based, Kansas
3540, who played sonny in lemony snicket's a series of unfortunate events, Presley Smith
3542, how does the cash cab guy read the questions, walkie-talkie and earpiece
3543, who did the music for your lie in april, Masaru Yokoyama
3544, what are the value of style guides and style sheet, improve communication
3545, where are unipolar neurons found in spinal cord, the distal dorsal root
3546, what was the date of the signing of the declaration of independence, August 2  1776
3548, when do liam and annie get together season 3, Holiday Madness
3550, where do they film young and the restless, CBS Television City
3552, what episode does marnie come back in geordie shore, 5
3556, who makes the decisions about what to produce in a market economy, capital and financial markets
3558, who played little ricky on i love lucy show, Keith Thibodeaux
3559, who sang with eternal on i wanna be the only one, BeBe Winans
3561, what is a home run with a girl, "full" sexual intercourse
3563, band who had a hit with heart and soul crossword, British pop band T'Pau
3568, who plays dawn on nicky ricky dicky and dawn, Lizzy Greene
3570, who is rose in the fall season 2, Valene Kane
3571, who plays the judge in drop dead diva, Lex Medlin
3572, why is the indian ocean the warmest in the world, human induced greenhouse warming
3574, who sings blame it on the bossa nova, Eydie Gormé
3575, who do the characters represent in 8 mile, loosely on Eminem
3579, who does the vocals for feel it still, Portugal. The Man
3582, where does florida natural orange juice come from, Lake Wales  Florida
3583, when is the new dumping ground coming out 2017, 15 December 2017
3585, forney's sister in where the heart is, Margaret Hoard
3586, when did the first pair of yeezys come out, February 14  2015
3592, what is the third book in the lunar chronicles, Cress
3596, what mall did they use in back to the future, Puente Hills Mall
3606, what college does everyone in gossip girl go to, New York University
3608, what domain has more individuals than all other domains combined do, the com TLD
